"id","bw0"
"44270","24.6"
"44271","25.2"
"44272","25.8"
"44273","23.1"
"44274","26.4"
"44275","30.1"
"44276","26"
"44277","23.3"
"44367","27.8"
"44368","23.1"
"44369","24.6"
"44370","19.8"
"44458","26.6"
"44459","24.5"
"44460","25.1"
"44461","28.7"
"44462","21.9"
"44463","26.5"
"44464","21.2"
"44465","29.8"
"44466","25.2"
"44467","20.5"
"44468","21.3"
"44469","27"
"44470","25.9"
"44471","28.3"
"44472","24.7"
"44473","21.8"
"44474","20.7"
"44475","22.4"
"44477","24.8"
"44478","27.1"
"44479","25.5"
"44480","28.6"
"44481","19.7"
"44482","29"
"44483","23.9"
"44484","26.8"
"44485","28.1"
"44486","24.7"
"44487","23.4"
"44488","24.8"
"44489","24"
"44490","25.8"
"44491","24.7"
"44492","28.8"
"44493","30.2"
"44494","26.7"
"44495","23.8"
"44496","25.7"
"44497","26.3"
"44498","27.5"
"44499","23"
"44500","25.6"
"44573","22.7"
"44574","23.7"
"44801","22.8"
"44802","26.7"
"44803","29"
"44804","27.3"
"44805","25"
"44806","26.4"
"44807","26.3"
"44808","20.7"
"44809","26"
"44810","26.3"
"44811","28.6"
"44812","26"
"44813","23.6"
"44814","24.1"
"44815","25.6"
"44816","24.7"
"44817","21.7"
"44818","23.9"
"44819","25.8"
"44820","21.8"
"44821","25.9"
"44822","25.8"
"44823","22.7"
"44824","27.5"
"44825","23.4"
"44826","26.8"
"44827","21.6"
"44828","21.2"
"44829","25.2"
"44830","24"
"44831","29.8"
"44832","25.2"
"44833","22.6"
"44834","29.8"
"44835","31.6"
"44836","26.5"
"44837","24.9"
"44838","26"
"44839","24.3"
"44840","23.3"
"44841","23.5"
"44842","23.3"
"44843","24.7"
"44844","23"
"44845","24.4"
"44846","24.5"
"44847","22.1"
"44848","26.4"
"45001","24.2"
"45002","27.9"
"45003","25.4"
"45004","27.1"
"45005","28.3"
"45006","24.6"
"45007","26.8"
"45008","25.6"
"45009","25.5"
"45010","24.5"
"45011","29.2"
"45012","21.8"
"45013","25.2"
"45014","26.7"
"45015","27"
"45016","25.3"
"45017","27.2"
"45018","26.1"
"45019","20.6"
"45020","24.9"
"45021","27.2"
"45022","25.2"
"45023","28.9"
"45024","27.4"
"45025","24.3"
"45026","23.4"
"45027","29.7"
"45028","25.5"
"45029","27.4"
"45030","22.7"
"45031","27.9"
"45032","27.2"
"45033","27.4"
"45034","27.6"
"45035","29.1"
"45036","24.8"
"45037","27.5"
"45038","26.2"
"45039","27.5"
"45040","28"
"45041","30.2"
"45042","28.3"
"45043","27.8"
"45044","24.8"
"45045","28.4"
"45046","26.9"
"45047","26.8"
"45048","26.2"
"45063","23.4"
"45064","24.3"
"45065","27.7"
"45066","25.1"
"45067","24.1"
"45068","27.7"
"45069","23.5"
"45070","26.2"
"45071","21"
"45072","22.8"
"45073","26"
"45074","25.6"
"45201","28.5"
"45202","26.4"
"45203","24.9"
"45204","28.7"
"45205","22.2"
"45206","28.4"
"45207","25"
"45208","26.4"
"45209","28.1"
"45210","29.2"
"45211","24.6"
"45212","26.7"
"45213","25.2"
"45214","24.9"
"45215","28.9"
"45216","27.9"
"45217","26.2"
"45218","24.2"
"45219","28.3"
"45220","29.8"
"45221","24.9"
"45222","23.5"
"45223","25"
"45224","25.3"
"45225","27.1"
"45226","27.4"
"45227","28.9"
"45228","29.8"
"45229","30.2"
"45230","26.1"
"45231","27.7"
"45232","30.5"
"45233","28.4"
"45234","29.1"
"45235","26.8"
"45236","30.7"
"45257","25.4"
"45258","24.4"
"45259","23"
"45260","25.8"
"45261","23.5"
"45262","29.6"
"45263","27.7"
"45264","22.3"
"45265","20.5"
"45266","23.1"
"45267","22.2"
"45268","27.8"
"45269","24.2"
"45270","21.8"
"45271","24.5"
"45272","26.6"
"45273","23.7"
"45274","27.2"
"45275","24.7"
"45276","25.4"
"45277","22.8"
"45278","23.7"
"45279","25.2"
"45280","24"
"45281","22.9"
"45282","27.1"
"45283","20.9"
"45284","28"
"45285","24.2"
"45286","24.6"
"45287","26.6"
"45288","24.2"
"45289","23.3"
"45290","27.7"
"45291","28.5"
"45292","24.9"
"45293","23.5"
"45294","22.7"
"45295","20.7"
"45296","27.2"
"45297","22.8"
"45298","24.8"
"45299","23"
"45300","25.6"
"45412","24.3"
"45413","28.5"
"45414","27.2"
"45415","31.2"
"45649","24.2"
"45650","26.5"
"45651","25.1"
"45652","22.4"
"45653","25"
"45654","25.3"
"45655","25.9"
"45656","24"
"45657","24.7"
"45658","21"
"45659","23"
"45660","24.7"
"45661","26.4"
"45662","29.7"
"45663","24.8"
"45664","23.6"
"45665","23.6"
"45666","24.4"
"45667","23.9"
"45668","23.3"
"45669","22.6"
"45670","26"
"45671","24.7"
"45672","25.5"
"45673","22.5"
"45674","21.8"
"45675","23.4"
"45676","23.9"
"45677","25.3"
"45678","25.7"
"45679","25.3"
"45680","23.3"
"45681","24.2"
"45682","25.4"
"45683","23.3"
"45684","24.6"
"45685","22.7"
"45686","27"
"45687","23.5"
"45688","21.9"
"45689","25"
"45690","25"
"45691","25"
"45692","22.3"
"45693","23.5"
"45694","25.5"
"45695","25"
"45696","23.6"
"45823","31.6"
"45824","32.2"
"45825","24.5"
"45826","29.5"
"45827","29.3"
"45828","29"
"45829","26"
"45830","28.4"
"45831","33.9"
"45832","31.4"
"45833","26.1"
"45834","27.7"
"45835","26.2"
"45836","26.3"
"45837","29.8"
"45838","27.4"
"45839","26.6"
"45840","29.8"
"45841","29.2"
"45842","25.4"
"45843","30.3"
"45844","27.6"
"45845","30.3"
"45846","25.2"
"45847","27.4"
"45848","25.3"
"45849","28"
"45850","29"
"45851","25.6"
"45852","28.3"
"45853","25.7"
"45854","32.6"
"45855","30.1"
"45856","27.9"
"45857","27.3"
"45858","30.9"
"45859","30.3"
"45860","29.9"
"45861","29.6"
"45862","28.3"
"45863","34.3"
"45864","28.2"
"45865","28.2"
"45866","33.8"
"45867","25"
"45868","26.5"
"45869","27.8"
"45870","26.5"
"46226","23.4"
"46227","26.8"
"46228","23.8"
"46229","24.2"
"46230","21.1"
"46231","23.4"
"46232","20.9"
"46233","22.7"
"46234","23.6"
"46235","25"
"46236","23.1"
"46237","27"
"46238","23.1"
"46239","23.1"
"46240","22"
"46241","25.2"
"46242","23.5"
"46243","25.9"
"46244","22.2"
"46245","25.5"
"46246","22.4"
"46247","24.8"
"46248","24.2"
"46249","23.4"
"46250","26"
"46261","27.5"
"46262","24"
"46263","24.9"
"46264","26.3"
"46265","24.1"
"46266","21.6"
"46267","24.5"
"46268","25.4"
"46269","25"
"46270","26.8"
"46271","21.3"
"46272","24.7"
"46273","23.4"
"46274","25.4"
"46275","24.7"
"46276","24.5"
"46277","23.5"
"46278","25.3"
"46279","24.5"
"46280","24.6"
"46281","27.3"
"46282","29.3"
"46283","25.2"
"46760","24.1"
"46761","22.9"
"46762","22.5"
